"InstanceInst.","StatusStat.","VariablesVari.","BinariesBina.","IntegersInte.","ContinuousCont.","ConstraintsCons.","Nonz.Nonz.","SubmitterSubm.","GroupGrou.","ObjectiveObje.","TagsTags."
"elitserienhandball11i","hard","32679","16944","6952","8783","35580","99071","Gleb Belov","elitserienhandball","3","indicator numerics aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"elitserienhandball13i","hard","32791","16976","6976","8839","35758","99381","Gleb Belov","elitserienhandball","5","indicator numerics aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"elitserienhandball14i","hard","32541","16938","6938","8665","35328","98685","Gleb Belov","elitserienhandball","2","indicator numerics aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"elitserienhandball3i","hard","32807","16966","6973","8868","35804","99434","Gleb Belov","elitserienhandball","4","indicator numerics aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"enlight11","easy","242","121","121","0","121","682","A. Zymolka","enlight","Infeasible","infeasible equation_knapsack general_linear"
"enlight4","easy","32","16","16","0","16","80","A. Zymolka","enlight","Infeasible","infeasible equation_knapsack general_linear"
"enlight8","easy","128","64","64","0","64","352","A. Zymolka","enlight","27","equation_knapsack general_linear"
"enlight9","easy","162","81","81","0","81","450","A. Zymolka","enlight","Infeasible","infeasible equation_knapsack general_linear"
"enlight_hard","easy","200","100","100","0","100","560","A. Zymolka","enlight","37","benchmark benchmark_suitable equation_knapsack general_linear"
"eva1aprime5x5opt","open","1712","400","0","1312","11929","57162","Yoshihiro Kanno","evaprime","-17.94807560443689*","aggregations variable_bound set_packing mixed_binary"
"eva1aprime6x6opt","open","3514","836","0","2678","34872","161558","Yoshihiro Kanno","evaprime","-16.31528287738903*","aggregations variable_bound set_packing mixed_binary"
"ex10","easy","17680","0","17680","0","69608","1162000","Iulian Ober","–","100","benchmark binary benchmark_suitable precedence set_partitioning invariant_knapsack"
"ex1010-pi","open","25200","25200","0","0","1468","102114","M. Winkler","–","234.0*","binary set_covering"
"ex9","easy","10404","0","10404","0","40962","517112","Iulian Ober","–","81","benchmark binary benchmark_suitable precedence set_partitioning invariant_knapsack"
"exp-1-500-5-5","easy","990","250","0","740","550","1980","MIPLIB submission pool","exp_and_fc","65887","benchmark benchmark_suitable variable_bound set_packing mixed_binary"
"f2000","open","4000","4000","0","0","10500","29500","M. Winkler","–","1810.0*","binary variable_bound set_covering"
"f2gap201600","easy","1600","1600","0","0","20","3200","Salim Haddadi","f2gap","76453","binary mixed_binary"
"f2gap401600","easy","1600","1600","0","0","40","3200","Salim Haddadi","f2gap","82306.9999999945","binary mixed_binary"
"f2gap40400","easy","400","400","0","0","40","800","Salim Haddadi","f2gap","20771.99999999983","binary knapsack mixed_binary"
"f2gap801600","easy","1600","1600","0","0","80","3200","Salim Haddadi","f2gap","86678.999982707","binary knapsack mixed_binary"
"fast0507","easy","63009","63009","0","0","507","409349","MIPLIB submission pool","–","174","benchmark binary benchmark_suitable variable_bound set_covering"
"fastxgemm-n2r6s0t2","easy","784","48","0","736","5998","19376","Laurent Sorber","fastxgemm","230","benchmark decomposition benchmark_suitable variable_bound set_partitioning set_covering mixed_binary general_linear"
"fastxgemm-n2r7s4t1","easy","904","56","0","848","6972","22584","Laurent Sorber","fastxgemm","41.99999999999998","decomposition benchmark_suitable variable_bound set_partitioning set_covering mixed_binary general_linear"
"fastxgemm-n3r21s3t6","open","18684","378","0","18306","219368","718146","Laurent Sorber","fastxgemm","4110.99800117485*","decomposition variable_bound set_partitioning set_covering mixed_binary general_linear"
"fastxgemm-n3r22s4t6","open","19539","396","0","19143","229742","752274","Laurent Sorber","fastxgemm","3101.998498499999*","decomposition variable_bound set_partitioning set_covering mixed_binary general_linear"
"fastxgemm-n3r23s5t6","open","20394","414","0","19980","240116","786402","Laurent Sorber","fastxgemm","3089.997998*","decomposition variable_bound set_partitioning set_covering mixed_binary general_linear"
"fhnw-binpack4-18","easy","520","481","0","39","650","2392","Simon Felix","binpack","Infeasible","infeasible feasibility benchmark_suitable invariant_knapsack mixed_binary"
"fhnw-binpack4-4","hard","520","481","0","39","620","2332","Simon Felix","binpack","Infeasible","benchmark infeasible feasibility benchmark_suitable precedence variable_bound invariant_knapsack mixed_binary"
"fhnw-binpack4-48","hard","3710","3605","0","105","4480","17290","Simon Felix","binpack","0","benchmark feasibility benchmark_suitable precedence variable_bound invariant_knapsack mixed_binary"
"fhnw-binpack4-58","open","7550","7400","0","150","9900","35750","Simon Felix","binpack","NA","no_solution feasibility precedence variable_bound invariant_knapsack mixed_binary"
"fhnw-binpack4-77","open","3924","3816","0","108","4922","17726","Simon Felix","binpack","NA","no_solution feasibility precedence variable_bound invariant_knapsack mixed_binary"
"fhnw-binschedule0","open","319319","316270","3048","1","58085","1382972","Simon Felix","fhnw-bin","16122.0*","decomposition variable_bound set_partitioning set_packing invariant_knapsack binpacking mixed_binary general_linear"
"fhnw-binschedule1","open","1141653","1137008","4644","1","772872","8611326","Simon Felix","fhnw-bin","55198.0*","variable_bound set_partitioning set_packing invariant_knapsack binpacking mixed_binary general_linear"
"fhnw-binschedule2","open","30973","30504","468","1","6503","134640","Simon Felix","fhnw-bin","2428*","decomposition variable_bound set_partitioning set_packing invariant_knapsack binpacking mixed_binary general_linear"
"fhnw-schedule-paira100","open","5150","5050","0","100","10000","29873","Simon Felix","schedule","-15.1131226682367*","variable_bound mixed_binary"
"fhnw-schedule-paira200","open","20300","20100","0","200","40000","119746","Simon Felix","schedule","-19.157058350349338*","variable_bound mixed_binary"
"fhnw-schedule-paira400","open","80600","80200","0","400","160000","479504","Simon Felix","schedule","-35.4988125672093*","variable_bound mixed_binary"
"fhnw-schedule-pairb200","open","40200","40000","0","200","99554","298554","Simon Felix","schedule","-19.24094384259708*","precedence variable_bound invariant_knapsack mixed_binary"
"fhnw-schedule-pairb400","open","160400","160000","0","400","399096","1197096","Simon Felix","schedule","-35.45718061898704*","precedence variable_bound invariant_knapsack mixed_binary"
"fhnw-sq2","hard","650","625","25","0","91","1968","Simon Felix","fhnw-sq","0","feasibility precedence set_partitioning integer_knapsack general_linear"
"fhnw-sq3","hard","2450","2401","49","0","167","7372","Simon Felix","fhnw-sq","Infeasible","infeasible feasibility precedence set_partitioning integer_knapsack general_linear"
"fiball","easy","34219","33960","258","1","3707","104792","MIPLIB submission pool","–","138","benchmark decomposition benchmark_suitable aggregations precedence set_partitioning general_linear"
"fiber","easy","1298","1254","0","44","363","2944","MIPLIB submission pool","–","405935.18","decomposition aggregations set_partitioning cardinality general_linear"
"fillomino7x7-0i","easy","12877","4821","4443","3613","17518","33300","Gleb Belov","fillomino","0","feasibility indicator numerics aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear"
"fjspeasy01i","easy","17847","8849","8998","0","27264","46454","Gleb Belov","fjsp","253","indicator numerics aggregations precedence variable_bound set_packing invariant_knapsack general_linear"
"flugpl","easy","18","0","11","7","18","46","MIPLIB submission pool","–","1201500","aggregations variable_bound general_linear"
"flugplinf","easy","18","0","11","7","19","64","MIPLIB submission pool","–","Infeasible","infeasible aggregations variable_bound general_linear"
"g200x740","easy","1480","740","0","740","940","2960","MIPLIB submission pool","fixed-cost-network-flow","44316","decomposition benchmark_suitable variable_bound mixed_binary"
"g503inf","easy","48","24","0","24","41","144","MIPLIB submission pool","–","Infeasible","infeasible variable_bound binpacking knapsack mixed_binary"
"gasprod1-1","open","10920","4053","0","6867","27695","201348","Andrew Stamps","gasprod","291.51163698498203*","numerics aggregations precedence variable_bound invariant_knapsack binpacking knapsack mixed_binary"
"gasprod1-2","easy","10752","3716","0","7036","27169","200460","Andrew Stamps","gasprod","983.039488258","numerics aggregations precedence variable_bound invariant_knapsack binpacking knapsack mixed_binary"
"gasprod1-3","easy","10752","3717","0","7035","27169","200463","Andrew Stamps","gasprod","2310.0993127","numerics aggregations precedence variable_bound invariant_knapsack binpacking knapsack mixed_binary"
"gasprod2-1","easy","29568","7389","0","22179","73448","282846","Andrew Stamps","gasprod","1628548.2968","numerics aggregations precedence variable_bound invariant_knapsack binpacking mixed_binary"
"gasprod2-2","easy","29568","6826","0","22742","72728","280740","Andrew Stamps","gasprod","1375631.6625","numerics aggregations precedence variable_bound set_packing invariant_knapsack binpacking mixed_binary"
"gen","easy","870","144","6","720","780","2592","MIPLIB submission pool","–","112313.3627179998","decomposition variable_bound integer_knapsack mixed_binary general_linear"
"gen-ip002","easy","41","0","41","0","24","922","Simon Bowly","generated","-4783.733392","benchmark benchmark_suitable general_linear"
"gen-ip016","easy","28","0","28","0","24","672","Simon Bowly","generated","-9476.155197","general_linear"
"gen-ip021","easy","35","0","35","0","28","945","Simon Bowly","generated","2361.45419519","benchmark_suitable general_linear"
"gen-ip036","easy","29","0","29","0","46","1303","Simon Bowly","generated","-4606.67961","benchmark_suitable general_linear"
"gen-ip054","easy","30","0","30","0","27","532","Simon Bowly","generated","6840.96564179","benchmark benchmark_suitable variable_bound general_linear"
"genus-g31-8","open","3484","3482","1","1","32047","401147","Stephan Beyer","genus","-23*","numerics set_partitioning set_covering cardinality invariant_knapsack knapsack general_linear"
"genus-g61-25","open","14380","14378","1","1","94735","332877","Stephan Beyer","genus","-34*","numerics set_partitioning set_covering cardinality invariant_knapsack knapsack general_linear"
"genus-sym-g31-8","open","3484","3482","1","1","32073","401199","Stephan Beyer","genus","-21*","numerics precedence set_partitioning set_covering cardinality invariant_knapsack knapsack general_linear"
"genus-sym-g62-2","open","12912","12910","1","1","78472","275855","Stephan Beyer","genus","-34.0*","precedence set_partitioning set_covering cardinality invariant_knapsack knapsack general_linear"
"genus-sym-grafo5708-48","open","3379","3377","1","1","20538","72579","Stephan Beyer","genus","-21*","precedence set_partitioning set_covering cardinality invariant_knapsack knapsack general_linear"
"ger50-17-ptp-pop-3t","open","4892","0","540","4352","545","14285","C. Raack","ger50","5224.5144*","mixed_binary general_linear"
"ger50-17-ptp-pop-6t","hard","4892","0","540","4352","545","14285","C. Raack","ger50","8942.6328","mixed_binary general_linear"
"ger50-17-trans-dfn-3t","open","22414","0","18062","4352","499","172035","C. Raack","ger50","3969.4334*","mixed_binary general_linear"
"ger50-17-trans-pop-3t","open","22414","0","18062","4352","499","172035","C. Raack","ger50","4038.441*","mixed_binary general_linear"
"ger50_17_trans","hard","22414","0","18062","4352","499","172035","C. Raack","ger50","7393.2618","numerics mixed_binary general_linear"
"germanrr","easy","10813","5323","5251","239","10779","175547","Q. Chen","–","47095869.649","benchmark decomposition benchmark_suitable precedence variable_bound set_partitioning general_linear"
